"iata","state","airport","city","country","latitude","longitude","timezone","dst","Volume"
"BAK","IN","Columbus Municipal","Columbus","USA",39.26191861,-85.89634556,-5,0,NA
"BAK","IN","Columbus Municipal","Columbus","USA",39.26191861,-85.89634556,-5,1,NA
"BAM","NV","Battle Mountain","Battle Mountain","USA",40.59904583,-116.8743358,-8,1,NA
"BAX","MI","Huron County Memorial","Bad Axe","USA",43.78091667,-82.98566667,-5,1,NA
"BAZ","TX","New Braunfels Municipal","New Braunfels","USA",29.7045,-98.04222222,-6,1,NA
"BBB","MN","Benson Municipal","Benson","USA",45.3319325,-95.650565,-6,1,NA
"BBD","TX","Curtis ","Brady","USA",31.17816667,-99.32463889,-6,1,NA
"BBP","SC","Marlboro County","Bennettsville","USA",34.62170861,-79.73435944,-5,1,NA
"BBW","NE","Broken Bow Municipal","Broken Bow","USA",41.43645056,-99.64216861,-6,1,NA
"BCB","VA","Virginia Tech","Blacksburg","USA",37.20782361,-80.40832778,-5,1,NA
"BCE","UT","Bryce Canyon","Bryce Canyon","USA",37.70637111,-112.1454725,-7,1,NA
"BCK","WI","Black River Falls Area","Black River Falls","USA",44.25073861,-90.85528028,-6,1,NA
"BCT","FL","Boca Raton","Boca Raton","USA",26.37848667,-80.10769667,-5,1,NA
"BCV","AK","Birchwood","Birchwood","USA",61.41612444,-149.50888,-9,1,NA
"BDE","MN","Baudette International","Baudette","USA",48.72741667,-94.61030556,-6,1,NA
"BDG","UT","Blanding Muni","Blanding","USA",37.58303472,-109.4832889,-7,1,NA
"BDL","CT","Bradley International","Windsor Locks","USA",41.93887417,-72.68322833,-5,1,631934
"BDQ","AR","Morrilton Municipal","Morrilton","USA",35.13619528,-92.71349722,-6,1,NA
"BDR","CT","Igor I Sikorsky Memorial","Bridgeport","USA",41.16348417,-73.12617861,-5,1,NA
"BDX","MT","Broadus","Broadus","USA",45.433325,-105.4172133,-7,1,NA
"BED","MA","Laurence G Hanscom ","Bedford","USA",42.46995306,-71.28903,-5,1,NA
"BEH","MI","Southwest Michigan Regional","Benton Harbor","USA",42.12858333,-86.4285,-5,1,NA
"BET","AK","Bethel","Bethel","USA",60.77977639,-161.8379975,-9,1,19120
"BFD","PA","Bradford Reg","Bradford","USA",41.80306778,-78.64012083,-5,1,NA
"BFF","NE","Scotts Bluff County","Scottsbluff","USA",41.87402778,-103.5956389,-7,1,1
"BFI","WA","Boeing Field/King County Intl","Seattle","USA",47.52998917,-122.3019561,-8,1,1
"BFK","OK","Buffalo Municipal","Buffalo","USA",36.86330139,-99.61873056,-6,1,NA
"BFL","CA","Meadows ","Bakersfield","USA",35.43359806,-119.0567681,-8,1,33896
"BFM","AL","Mobile Downtown","Mobile","USA",30.62646944,-88.06799861,-6,1,NA
"BFR","IN","Virgil I Grissom Municipal","Bedford","USA",38.84003306,-86.44536361,-5,1,NA
"BFR","IN","Virgil I Grissom Municipal","Bedford","USA",38.84003306,-86.44536361,-5,0,NA
"BFW","MN","Silver Bay Municipal","Silver Bay","USA",47.24902778,-91.41558333,-6,1,NA
"BGD","TX","Hutchinson County","Borger","USA",35.70004194,-101.3940536,-6,1,NA
"BGE","GA","Decatur County Industrial Airpark","Bainbridge","USA",30.97152778,-84.63744444,-5,1,NA
"BGF","TN","Winchester Municipal","Winchester","USA",35.17753417,-86.06616722,-6,1,NA
"BGM","NY","Binghamton Regional","Binghamton","USA",42.20848278,-75.97961361,-5,1,26000
"BGQ","AK","Big Lake Strip Nr 2","Big Lake","USA",61.53556806,-149.8138975,-9,1,NA
"BGR","ME","Bangor International","Bangor","USA",44.80744444,-68.82813889,-5,1,53075
"BHB","ME","Hancock Co-Bar Harbor","Bar Harbor","USA",44.44969444,-68.3615,-5,1,NA
"BHC","GA","Baxley Municipal","Baxley","USA",31.71383333,-82.39377778,-5,1,NA
"BHK","MT","Baker Muni","Baker City","USA",46.34763639,-104.2594475,-7,1,NA
"BHM","AL","Birmingham International","Birmingham","USA",33.56294306,-86.75354972,-6,1,390913
"BID","RI","Block Island State","Block Island","USA",41.16811889,-71.57784167,-5,1,NA
"BIE","NE","Beatrice Municipal","Beatrice","USA",40.30127778,-96.75411111,-6,1,NA
"BIG","AK","Allen AAF","Delta Junction","USA",63.99454722,-145.7216417,NA,NA,NA
"BIH","CA","Bishop","Bishop","USA",37.37309556,-118.3636089,-8,1,NA
"BIL","MT","Billings Logan Intl","Billings","USA",45.8076625,-108.5428611,-7,1,89395
"BIS","ND","Bismarck Municipal","Bismarck","USA",46.77411111,-100.7467222,-6,1,47350
"BIS","ND","Bismarck Municipal","Bismarck","USA",46.77411111,-100.7467222,-7,1,47350
"BIV","MI","Tulip City","Holland","USA",42.74316667,-86.10502778,-5,1,NA
"BJC","CO","Jeffco","Denver","USA",39.90878667,-105.1172158,-7,1,NA
"BJI","MN","Bemidji-Beltrami County","Bemidji","USA",47.50942417,-94.93372333,-6,1,128
"BJJ","OH","Wayne County","Wooster","USA",40.87480556,-81.88825,-5,1,NA
"BKD","TX","Breckenridge Stephens County","Breckenridge","USA",32.71904694,-98.89099972,-6,1,NA
"BKE","OR","Baker City Municipal","Baker City","USA",44.83733333,-117.8090833,-8,1,NA
"BKL","OH","Burke Lakefront","Cleveland","USA",41.5175,-81.68333333,-5,1,NA
"BKV","FL","Hernando County","Brooksville","USA",28.47359722,-82.45542139,-5,1,NA
"BKW","WV","Raleigh Cty Memorial","Beckley","USA",37.78732833,-81.12416417,-5,1,NA
"BKX","SD","Brookings Municipal","Brookings","USA",44.30483333,-96.81694444,-6,1,NA
"BLF","WV","Mercer Cty","Bluefield","USA",37.29579944,-81.20769056,-5,1,NA
"BLH","CA","Blythe","Blythe","USA",33.61916278,-114.7168764,-8,1,NA
"BLI","WA","Bellingham Intl","Bellingham","USA",48.79275,-122.5375278,-8,1,7123
"BLM","NJ","Allaire Arpt","Belmar/Farmingdale","USA",40.18691806,-74.12488694,-5,1,NA
"BLV","IL","Scott AFB/MidAmerica ","Belleville/St. Louis","USA",38.54517861,-89.83518444,-6,1,NA
"BMC","UT","Brigham City","Brigham City","USA",41.55239139,-112.0622625,-7,1,NA
"BMG","IN","Monroe County","Bloomington","USA",39.14602139,-86.61668278,-5,0,NA
"BMI","IL","Central Illinois Regional","Bloomington","USA",40.47798556,-88.91595278,-6,1,20009
"BML","NH","Berlin Municipal","Berlin","USA",44.57537278,-71.17593167,-5,1,NA
"BMQ","TX","Burnet Muni-Kate Craddock ","Burnet","USA",30.73894444,-98.23858333,-6,1,NA
"BMT","TX","Beaumont Municipal","Beaumont","USA",30.07044111,-94.21553806,-6,1,NA
"BNA","TN","Nashville International","Nashville","USA",36.12447667,-86.67818222,-6,1,1136930
"BNF","AK","Baranof Warm Springs SPB","Baranof Warm Springs","USA",57.08882583,-134.8331414,-9,1,NA
"BNG","CA","Banning Municipal","Banning","USA",33.92307111,-116.8505756,-8,1,NA
"BNL","SC","Barnwell County","Barnwell","USA",33.25777778,-81.38833333,-5,1,NA
"BNO","OR","Burns Muni","Burns","USA",43.59212778,-118.9549789,-8,1,NA
"BNW","IA","Boone Municipal","Boone","USA",42.04956944,-93.84757222,-6,1,NA
"BOI","ID","Boise Air Terminal","Boise","USA",43.56444444,-116.2227778,-7,1,226403
"BOK","OR","Brookings","Brookings","USA",42.07455556,-124.2900939,-8,1,NA
"BOS","MA","Gen Edw L Logan Intl","Boston","USA",42.3643475,-71.00517917,-5,1,2213146
"BOW","FL","Bartow Municipal","Bartow","USA",27.9433575,-81.78344167,-5,1,NA
"BPI","WY","Big Piney-Marbleton","Big Piney","USA",42.58506972,-110.1111531,-7,1,NA
"BPK","AR","Baxter County Regional","Mountain Home","USA",36.36894194,-92.47052806,-6,1,NA
"BPT","TX","Southeast Texas Regional","Beaumont/Port Arthur","USA",29.95083333,-94.02069444,-6,1,8306
"BQK","GA","Glynco Jetport","Brunswick","USA",31.25902778,-81.46630556,-5,1,6306
"BQN","PR","Rafael Hernandez","Aguadilla","USA",18.49486111,-67.12944444,-4,0,7604
"BRD","MN","Brainerd-Crow Wing County Regional","Brainerd","USA",46.39785806,-94.1372275,-6,1,NA
"BRL","IA","Burlington Municipal","Burlington","USA",40.783225,-91.12550556,-6,1,NA
"BRO","TX","Brownsville/S.Padre Island International","Brownsville","USA",25.90683333,-97.42586111,-6,1,13802
"BRW","AK","Wiley Post Will Rogers Memorial","Barrow","USA",71.2854475,-156.7660019,-9,1,12549
"BRY","KY","Samuels ","Bardstown","USA",37.81432167,-85.49963806,-5,1,NA
"BST","ME","Belfast Municipal","Belfast","USA",44.40966667,-69.01225,-5,1,NA
"BTI","AK","Barter Island ","Kaktovik","USA",70.13390278,-143.5770444,-9,1,NA
"BTL","MI","W K Kellogg Regional","Battle Creek","USA",42.30727806,-85.25147972,-5,1,NA
"BTM","MT","Bert Mooney","Butte","USA",45.95479528,-112.49746,-7,1,10659
"BTN","SD","Britton Municipal","Britton","USA",45.81522222,-97.74313889,-6,1,NA
"BTP","PA","Butler Cty","Butler","USA",40.77692611,-79.94972417,-5,1,NA
"BTR","LA","Baton Rouge Metropolitan Ryan ","Baton Rouge","USA",30.53316083,-91.14963444,-6,1,143479
"BTT","AK","Bettles","Bettles","USA",66.91528667,-151.5280556,-9,1,NA
"BTV","VT","Burlington International","Burlington","USA",44.47300361,-73.1503125,-5,1,106079
"BTY","NV","Beatty","Beatty","USA",36.86105722,-116.7870036,-8,1,NA
"BUB","NE","Cram ","Burwell","USA",41.77669444,-99.14975,-6,1,NA
"BUF","NY","Buffalo Niagara Intl","Buffalo","USA",42.94052472,-78.73216667,-5,1,471631
"BUM","MO","Butler Memorial","Butler","USA",38.28977028,-94.34012694,-6,1,NA
"BUR","CA","Burbank-Glendale-Pasadena","Burbank","USA",34.20061917,-118.3584969,-8,1,560386
"BUR","CA","Burbank-Glendale-Pasadena","Burbank","USA",34.20061917,-118.3584969,-7,1,560386
"BUY","NC","Burlington Municipal","Burlington","USA",36.04854333,-79.47488694,-5,1,NA
"BVI","PA","Beaver County","Beaver Falls","USA",40.77248083,-80.39142556,-5,1,NA
"BVK","AK","Buckland","Buckland","USA",65.98228611,-161.1519778,-9,1,NA
"BVN","NE","Albion Municipal","Albion","USA",41.72857778,-98.05575972,-6,1,NA
"BVO","OK","Bartlesville Municipal","Bartlesville","USA",36.76247611,-96.01115167,-6,1,NA
"BVS","WA","Skagit Regional/Bay View","Burlington/Mount Vernon","USA",48.47088889,-122.4208611,-8,1,NA
"BVX","AR","Batesville Regional","Batesville","USA",35.726105,-91.64736083,-6,1,NA
"BVY","MA","Beverly Municipal","Beverly","USA",42.58417111,-70.91651833,-5,1,NA
"BWC","CA","Brawley Municipal","Brawley","USA",32.9931,-115.5169325,-8,1,NA
"BWD","TX","Brownwood Municipal","Brownwood","USA",31.79362222,-98.95649528,-6,1,NA
"BWG","KY","Bowling Green-Warren County ","Bowling Green","USA",36.96451667,-86.41967917,-6,1,NA
"BWG","KY","Bowling Green-Warren County ","Bowling Green","USA",36.96451667,-86.41967917,-5,1,NA
"BWI","MD","Baltimore-Washington International","Baltimore","USA",39.17540167,-76.66819833,-5,1,1647881
"BWP","ND","Harry Stern","Wahpeton","USA",46.24640083,-96.6056825,-6,1,NA
"BXA","LA","George R Carr Memorial","Bogalusa","USA",30.81368639,-89.86496444,-6,1,NA
"BXG","GA","Burke County","Waynesboro","USA",33.04093056,-82.00397917,-5,1,NA
"BXK","AZ","Buckeye Municipal","Buckeye","USA",33.42088556,-112.6863,-7,0,NA
"BYA","AK","Boundary","Boundary","USA",64.07830278,-141.113375,NA,NA,NA
"BYG","WY","Johnson County","Buffalo","USA",44.38108528,-106.7217897,-7,1,NA
"BYI","ID","Burley Municipal","Burley","USA",42.54260361,-113.7715442,-7,1,NA
"BZN","MT","Gallatin ","Bozeman","USA",45.77690139,-111.1530072,-7,1,68094
"C00","IL","Mercer County","Aledo","USA",41.248645,-90.73708361,-6,1,NA
"C05","AK","Chenega Bay","Chenega","USA",60.07730556,-147.9918889,NA,NA,NA
"C09","IL","Morris Municipal","Morris","USA",41.42541667,-88.41869444,-6,1,NA
"C15","IL","Pekin Municipal","Pekin","USA",40.48820611,-89.67591083,-6,1,NA
"C17","IA","Marion","Marion","USA",42.03111083,-91.52934222,-6,1,NA
"C18","IL","Frankfort","Chicago/Frankfort","USA",41.4775,-87.84047222,-6,1,NA
"C25","IA","Waverly Municipal","Waverly","USA",42.7419525,-92.50793528,-6,1,NA
"C29","WI","Morey","Middleton","USA",43.11424444,-89.53073222,-6,1,NA
"C34","IL","Gibson City Municipal","Gibson City","USA",40.48578389,-88.2672725,-6,1,NA
"C35","WI","Reedsburg Municipal","Reedsburg","USA",43.52589944,-89.98322194,-6,1,NA
"C47","WI","Portage Municipal","Portage","USA",43.5600925,-89.48309278,-6,1,NA
"C52","WI","Burlington Municipal","Burlington","USA",42.69056389,-88.30464,-6,1,NA
"C56","IL","Sanger","Chicago/Monee","USA",41.37756167,-87.68137528,-6,1,NA
"C62","IN","Kendallville Municipal","Kendallville","USA",41.47271639,-85.26080833,-5,0,NA
"C65","IN","Plymouth Municipal","Plymouth","USA",41.36513333,-86.30050417,-5,0,NA
"C66","IL","Monmouth Municipal","Monmouth","USA",40.92970444,-90.63110722,-6,1,NA
"C71","MS","Crosby Municipal","Crosby","USA",31.29600472,-91.05288167,-6,1,NA
"C73","IL","Dixon Muni-Charles R Walgreen ","Dixon","USA",41.83369889,-89.44621333,-6,1,NA
"C75","IL","Marshall County","Lacon","USA",41.01928583,-89.38642222,-6,1,NA
"C77","IL","Poplar Grove ","Poplar Grove","USA",42.32268639,-88.83651833,-6,1,NA
"C80","CA","New Coalinga Municipal","Coalinga","USA",36.16313889,-120.2938139,-8,1,NA
"C81","IL","Campbell","Chicago/Round Lake Park","USA",42.32461111,-88.07408806,-6,1,NA
"C83","CA","Byron","Byron","USA",37.8284525,-121.6258219,-8,1,NA
"C91","MI","Dowagiac Municipal ","Dowagiac","USA",41.99293417,-86.1280125,-5,1,NA
"CAD","MI","Wexford County","Cadillac","USA",44.27531333,-85.41892694,-5,1,NA
"CAE","SC","Columbia Metropolitan","Columbia","USA",33.93884,-81.11953944,-5,1,160978
"CAG","CO","Craig-Moffat","Craig","USA",40.49522139,-107.5216467,-7,1,NA
"CAK","OH","Akron-Canton Regional","Akron","USA",40.91631194,-81.44246556,-5,1,74769
"CAO","NM","Clayton Municipal Airpark","Clayton","USA",36.44585972,-103.1546583,-7,1,NA
"CAR","ME","Caribou Municipal","Caribou","USA",46.8715,-68.01791667,-5,1,NA
"CAV","IA","Clarion Municipal","Clarion","USA",42.74194389,-93.75890944,-6,1,NA
"CBE","MD","Cumberland Regional","Cumberland","USA",39.61541667,-78.76086361,-5,1,NA
"CBF","IA","Council Bluffs Municipal","Council Bluffs","USA",41.25947222,-95.75997222,-6,1,NA
"CBG","MN","Cambridge Municipal","Cambridge","USA",45.55854639,-93.26464361,-6,1,NA
"CBK","KS","Shaltz ","Colby","USA",39.42753083,-101.0465719,-6,1,NA
"CCB","CA","Cable","Upland","USA",34.11154056,-117.6875897,-8,1,NA
"CCB","CA","Cable","Upland","USA",34.11154056,-117.6875897,-7,1,NA
"CCO","GA","Newnan-Coweta County","Newnan","USA",33.31208333,-84.77027778,-5,1,NA
"CCR","CA","Buchanan ","Concord","USA",37.98965639,-122.0568972,-8,1,4465
"CCY","IA","Charles City Municipal","Charles City","USA",43.07260861,-92.61077833,-6,1,NA
"CDB","AK","Cold Bay","Cold Bay","USA",55.20559972,-162.7242628,-9,1,NA
"CDC","UT","Cedar City Muni","Cedar City","USA",37.70097028,-113.098575,-7,1,3404
"CDH","AR","Harrell ","Camden","USA",33.62279917,-92.76339528,-6,1,NA
"CDI","OH","Cambridge Municipal","Cambridge","USA",39.97504417,-81.57759528,-5,1,NA
"CDK","FL","George T Lewis","Cedar Key","USA",29.137745,-83.04984361,-5,1,NA
"CDN","SC","Woodward ","Camden","USA",34.28358333,-80.56486111,-5,1,NA
"CDR","NE","Chadron Municipal","Chadron","USA",42.83755556,-103.0954167,-7,1,NA
"CDV","AK","Merle K (Mudhole) Smith","Cordova","USA",60.49183389,-145.4776503,-9,1,14652
"CDW","NJ","Essex Cty Arpt","Caldwell","USA",40.87522278,-74.28135667,-5,1,NA
"CEC","CA","Jack McNamara ","Crescent City","USA",41.78015722,-124.2365333,-8,1,5632
"CEF","MA","Westover AFB","Chicopee","USA",42.19826389,-72.53425833,-5,1,NA
"CEK","NE","Crete Municipal","Crete","USA",40.61791667,-96.92488889,-6,1,NA
"CEM","AK","Central","Central","USA",65.57380667,-144.7832908,-9,1,NA
"CEU","SC","Oconee County Regional","Clemson","USA",34.67205556,-82.88644444,-5,1,NA
"CEV","IN","Mettel ","Connersville","USA",39.69803139,-85.13124528,-5,0,NA
"CEW","FL","Bob Sikes","Crestview","USA",30.77883333,-86.52211111,-6,1,NA
"CEY","KY","Kyle-Oakley ","Murray","USA",36.66458333,-88.37277722,-6,1,NA
"CEZ","CO","Cortez Muni","Cortez","USA",37.30299778,-108.6280658,-7,1,NA
"CFD","TX","Coulter ","Bryan","USA",30.71569444,-96.33136111,-6,1,NA
"CFJ","IN","Crawfordsville Municipal","Crawfordsville","USA",39.97562861,-86.91986361,-5,0,NA
"CFK","AK","Chefornak","Chefornak","USA",60.14922556,-164.2856325,-9,1,NA
"CFT","AZ","Greenlee County","Clifton-Morenci","USA",32.95284306,-109.2103453,-7,0,NA
"CFV","KS","Coffeyville Municipal","Coffeyville","USA",37.0940475,-95.57189417,-6,1,NA
"CGA","AK","Craig SPB","Craig","USA",55.47883139,-133.1478011,-9,1,NA
"CGC","FL","Crystal River","Crystal River","USA",28.86727778,-82.57130556,-5,1,NA
"CGE","MD","Cambridge-Dorchester","Cambridge","USA",38.53930556,-76.03036111,-5,1,NA
"CGF","OH","Cuyahoga County","Cleveland","USA",41.56512389,-81.48635389,-5,1,NA
"CGI","MO","Cape Girardeau Municipal","Cape Girardeau","USA",37.22531694,-89.57075167,-6,1,NA
"CGS","MD","College Park","College Park","USA",38.98058333,-76.92230556,-5,1,NA
"CGX","IL","Chicago Meigs","Chicago","USA",41.85884389,-87.60791167,-6,1,NA
"CGZ","AZ","Casa Grande Municipal","Casa Grande","USA",32.95488889,-111.7668333,-7,0,NA
"CHA","TN","Lovell ","Chattanooga","USA",35.03526833,-85.20378778,-5,1,68075
"CHA","TN","Lovell ","Chattanooga","USA",35.03526833,-85.20378778,-6,1,68075
"CHD","AZ","Chandler Municipal","Chandler","USA",33.26908333,-111.8111389,-7,0,NA
"CHK","OK","Chickasha Municipal","Chickasha","USA",35.09614694,-97.96618361,-6,1,NA
"CHO","VA","Charlottesville-Albermarle","Charlottesville","USA",38.13863889,-78.45286111,-5,1,18801
"CHP","AK","Circle Hot Springs","Circle Hot Springs","USA",65.48547222,-144.6107836,NA,NA,NA
"CHS","SC","Charleston AFB/International","Charleston","USA",32.89864639,-80.04050583,-5,1,213093
"CHT","MO","Chillicothe Municipal","Chillicothe","USA",39.78215278,-93.49568056,-6,1,NA
"CHU","MN","Houston County","Caledonia","USA",43.59635861,-91.50394639,-6,1,NA
"CIC","CA","Chico Municipal","Chico","USA",39.79538278,-121.8584231,-8,1,6346
"CID","IA","Eastern Iowa ","Cedar Rapids","USA",41.88458833,-91.71087222,-6,1,123269
"CII","MT","Choteau","Choteau","USA",47.82528056,-112.1662136,-7,1,NA
"CIK","AK","Chalkyitsik","Chalkyitsik","USA",66.64969083,-143.7359492,-9,1,NA
"CIN","IA","Arthur N Neu","Carroll","USA",42.04619444,-94.789,-6,1,NA
"CIR","IL","Cairo","Cairo","USA",37.06447222,-89.21961111,-6,1,NA
"CIU","MI","Chippewa County International","Sault Ste. Marie","USA",46.25075194,-84.47238528,-5,1,NA
"CJR","VA","Culpeper Regional","Culpeper","USA",38.5267075,-77.85885528,-5,1,NA
"CJX","AK","Crooked Creek","Crooked Creek","USA",61.86902194,-158.1371178,-9,1,NA
"CKB","WV","Benedum","Clarksburg","USA",39.29663889,-80.22808333,-5,1,8
"CKC","MN","Grand Marais/Cook County","Grand Marais","USA",47.83830556,-90.38313889,-6,1,NA
"CKF","GA","Crisp County - Cordele","Cordele","USA",31.98883333,-83.77391667,-5,1,NA
"CKI","SC","Williamsburg County","Kingstree","USA",33.71722222,-79.85697222,-5,1,NA
"CKM","MS","Fletcher ","Clarksdale","USA",34.29971,-90.51231611,-6,1,NA
"CKN","MN","Crookston Muni Kirkwood ","Crookston","USA",47.84169417,-96.62162028,-6,1,NA
"CKP","IA","Cherokee Municipal","Cherokee","USA",42.73147222,-95.55613889,-6,1,NA
"CKU","AK","Cordova Muni","Cordova","USA",60.54390333,-145.7267042,-9,1,NA
"CKV","TN","Outlaw ","Clarksville","USA",36.62188083,-87.41495361,-6,1,NA
"CKX","AK","Chicken","Chicken","USA",64.07133833,-141.9522792,-9,1,NA
"CLD",NA,"MC Clellan-Palomar Airport",NA,"USA",33.127231,-117.278727,NA,NA,12746
"CLE","OH","Cleveland-Hopkins Intl","Cleveland","USA",41.41089417,-81.84939667,-5,1,1372361
"CLI","WI","Clintonville Municipal","Clintonville","USA",44.61381306,-88.73126667,-6,1,NA
"CLK","OK","Clinton Municipal","Clinton","USA",35.53832778,-98.932695,-6,1,NA
"CLL","TX","Easterwood ","College Station","USA",30.58858944,-96.36382417,-6,1,19226
"CLM","WA","William R Fairchild Intl","Port Angeles","USA",48.12019444,-123.4996944,-8,1,NA
"CLP","AK","Clarks Point","Clarks Point","USA",58.84230472,-158.5452331,-9,1,NA
"CLS","WA","Chehalis-Centralia","Chehalis","USA",46.67649194,-122.9792967,-8,1,NA
"CLT","NC","Charlotte/Douglas International","Charlotte","USA",35.21401111,-80.94312583,-5,1,2461856
"CLW","FL","Clearwater Air Park","Clearwater","USA",27.97668639,-82.75874028,-5,1,NA
"CMA","CA","Camarillo","Camarillo","USA",34.21375472,-119.0943264,-8,1,NA
"CMH","OH","Port Columbus Intl","Columbus","USA",39.99798528,-82.89188278,-5,1,737372
"CMI","IL","University of Illinois-Willard","Champaign/Urbana","USA",40.03925,-88.27805556,-6,1,26674
"CMX","MI","Houghton County Memorial","Hancock","USA",47.16841722,-88.48906083,-5,1,430
"CMY","WI","Sparta/Fort McCoy","Sparta","USA",43.95834806,-90.7378975,-6,1,NA
"CNC","IA","Chariton Municipal","Chariton","USA",41.01962389,-93.35968028,-6,1,NA
"CNH","NH","Claremont Municipal","Claremont","USA",43.37043194,-72.36867667,-5,1,NA
"CNK","KS","Blosser Municipal","Concordia","USA",39.54925139,-97.65231667,-6,1,NA
"CNM","NM","Cavern City Air Terminal","Carlsbad","USA",32.33747222,-104.2632778,-7,1,NA
"CNO","CA","Chino","Chino","USA",33.97469444,-117.6366111,-8,1,NA
"CNO","CA","Chino","Chino","USA",33.97469444,-117.6366111,-7,1,NA
"CNP","NE","Billy G Ray ","Chappell","USA",41.07747222,-102.4640556,-7,1,NA
"CNU","KS","Chanute Martin Johnson","Chanute","USA",37.66879722,-95.48506444,-6,1,NA
"CNW","TX","TSTC-Waco","Waco","USA",31.63783139,-97.07413889,-6,1,NA
"CNY","UT","Canyonlands ","Moab","USA",38.75495611,-109.7548439,-7,1,NA
"COD","WY","Yellowstone Regional","Cody","USA",44.52019417,-109.0237961,-7,1,5955
"COE","ID","Coeur DAlene Air Terminal","Coeur DAlene","USA",47.77429167,-116.8196231,-8,1,NA
"COI","FL","Merritt Island","Merritt Island","USA",28.34158944,-80.6854975,-5,1,NA
"COM","TX","Coleman Municipal","Coleman","USA",31.84113889,-99.40361111,-6,1,NA
"CON","NH","Concord Municipal","Concord","USA",43.20273278,-71.50228556,-5,1,NA
"COQ","MN","Cloquet-Carlton County","Cloquet","USA",46.70016833,-92.50552861,-6,1,NA
"COS","CO","City of Colorado Springs Muni","Colorado Springs","USA",38.80580556,-104.70025,-7,1,257999
"COT","TX","Cotulla-Lasalle County","Cotulla","USA",28.45825583,-99.22016389,-6,1,NA
"COU","MO","Columbia Regional","Columbia","USA",38.81809306,-92.21962917,-6,1,NA
"CPC","NC","Columbus County Municipal","Whiteville","USA",34.27287278,-78.71499278,-5,1,NA
"CPK","VA","Chesapeake Municipal","Norfolk","USA",36.66561833,-76.32066389,-5,1,NA
"CPM","CA","Compton/Woodley","Compton","USA",33.89001611,-118.2436831,-8,1,NA
"CPM","CA","Compton/Woodley","Compton","USA",33.89001611,-118.2436831,-7,1,NA
"CPR","WY","Natrona County Intl","Casper","USA",42.90835556,-106.4644661,-7,1,24707
"CPS","IL","St. Louis Downtown","Cahokia/St. Louis","USA",38.57072444,-90.15622111,-6,1,NA
"CPX","PR","Benjamin Rivera Noriega","Isla De Culebra","USA",18.31328917,-65.30432444,-4,0,NA
"CQA","OH","Lakefield","Celina","USA",40.48408333,-84.56011111,-5,1,NA
"CQB","OK","Chandler Municipal","Chandler","USA",35.72381556,-96.82027306,-6,1,NA
"CQX","MA","Chatham Municipal","Chatham","USA",41.68840028,-69.98952417,-5,1,NA
"CRC","AK","Circle City","Circle","USA",65.83049389,-144.0758128,-9,1,NA
"CRE","SC","Grand Strand","North Myrtle Beach","USA",33.81175,-78.72394444,-5,1,NA
"CRG","FL","Craig Municipal","Jacksonville","USA",30.33633333,-81.51444444,-5,1,NA
"CRO","CA","Corcoran","Corcoran","USA",36.10245111,-119.5948469,-8,1,NA
"CRP","TX","Corpus Christi International","Corpus Christi","USA",27.77036083,-97.50121528,-6,1,119090
"CRQ","CA","McClellan-Palomar","Carlsbad","USA",33.12822222,-117.2802222,-8,1,NA
"CRQ","CA","McClellan-Palomar","Carlsbad","USA",33.12822222,-117.2802222,-7,1,NA
"CRS","TX","C Davis Campbell -Corsicana Muni","Corsicana","USA",32.02748861,-96.39803611,-6,1,NA
"CRT","AR","Crossett Municipal","Crossett","USA",33.17833278,-91.88018806,-6,1,NA
"CRW","WV","Yeager","Charleston","USA",38.37315083,-81.59318972,-5,1,58473
"CRX","MS","Roscoe Turner ","Corinth","USA",34.91496778,-88.60348361,-6,1,NA
"CSB","NE","Cambridge Municipal","Cambridge","USA",40.30658333,-100.1620833,-6,1,NA
"CSG","GA","Columbus Metropolitan","Columbus","USA",32.51633333,-84.93886111,-5,1,17787
"CSM","OK","Clinton-Sherman","Clinton","USA",35.33983917,-99.20049944,-6,1,NA
"CSQ","IA","Creston Municipal","Creston","USA",41.02146139,-94.36331917,-6,1,NA
"CSV","TN","Crossville Memorial","Crossville","USA",35.95129194,-85.08497806,-6,1,NA
"CSV","TN","Crossville Memorial","Crossville","USA",35.95129194,-85.08497806,-5,1,NA
"CTB","MT","Cut Bank Muni","Cut Bank","USA",48.60835444,-112.3761464,-7,1,NA
"CTJ","GA","West Georgia Regional","Carrollton","USA",33.63102778,-85.15202778,-5,1,NA
"CTK","IL","Ingersoll","Canton","USA",40.56909444,-90.07484,-6,1,NA
"CTY","FL","Cross City ","Cross City","USA",29.63552778,-83.10475,-5,1,NA
"CTZ","NC","Sampson County","Clinton","USA",34.97561194,-78.36461528,-5,1,NA
"CUB","SC","Columbia Owens Downtown","Columbia","USA",33.97047222,-80.99525,-5,1,NA
"CUH","OK","Cushing Municipal","Cushing","USA",35.949925,-96.77305278,-6,1,NA
"CUL","IL","Carmi Municipal","Carmi","USA",38.08947917,-88.12306111,-6,1,NA
"CUT","SD","Custer County","Custer","USA",43.73331611,-103.6176947,-7,1,NA
"CVG","KY","Cincinnati Northern Kentucky Intl","Covington","USA",39.04614278,-84.6621725,-5,1,1864712
"CVK","AR","Sharp County Regional","Ash Flat","USA",36.26487139,-91.56264111,-6,1,NA
"CVN","NM","Clovis Municipal","Clovis","USA",34.42513889,-103.0792778,-7,1,NA
